"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1762418605524951351","Tue Feb 27 10:05:14 +0000 2024","1","Cara Mengatur Waktu Biar lebih Produktif dan Efektif! #bnetaslikarawang #bnet #karawang #betterinternetbetterlife #DariBNETUntukKarawang #BNETKanKarawang #JourneyOfBNET https://t.co/fo8AGOkajs","1762418605524951351","https://pbs.twimg.com/media/GHVd6vbbkAA9Q5Y.jpg","","in","","0","1","0","https://x.com/undefined/status/1762418605524951351","1630451515738693637",
"1756986377139618184","Mon Feb 12 10:19:30 +0000 2024","0","Semangat dan ceria bersama BNET Fighters di setiap hari Senin hingga Jumat! Tetap semangat bahagia dan cemerlang dalam setiap tugas. #BNETFighter #BNETAsliKarawang #betterinternetbetterlife #karawang #DariBNETUntukKarawang #BNETKanKarawang #SalmaSalsabil22ndBirthday https://t.co/YgF7JUXboS","1756986377139618184","https://pbs.twimg.com/media/GGIRixNb0AAbqze.jpg","","in","","0","0","0","https://x.com/undefined/status/1756986377139618184","1630451515738693637",
"1754355571896263139","Mon Feb 05 04:05:37 +0000 2024","0","Kali ini #BNETTalk mengundang seorang Musisi Indi Karawang yang punya karya luar biasa dan akan Rilis Album di bulan maret! the one n only Tansyah @tansyah._ Kiky atau Fadil? yang harus di undang di episode berikutnya? #bnet #karawang #bnetkarawang #bnetaslikarawang https://t.co/4XqREzgLXB","1754355571896263139","https://pbs.twimg.com/media/GFi42kDbUAApgRG.jpg","","in","","0","0","0","https://x.com/undefined/status/1754355571896263139","1630451515738693637",
"1754340442366496899","Mon Feb 05 03:05:30 +0000 2024","0","BNET Talk ngundang musisi indi karawang! Gimana keseruannya? tonton selengkapnya di Youtube BNET! #bnet #karawang #bnetaslikarawang #beranda #bnettalk kiky fadil https://t.co/RnAGesCKCb","1754340442366496899","https://pbs.twimg.com/ext_tw_video_thumb/1754338185034002432/pu/img/ZjMR5B0Zv6RTUFPR.jpg","","in","","0","0","0","https://x.com/undefined/status/1754340442366496899","1630451515738693637",
"1744905892301308061","Wed Jan 10 02:15:58 +0000 2024","0"," Dengan BNET nikmati kecepatan internet yang luar biasa! Streaming gaming atau aktivitas online apapun semua menjadi lebih cepat dan mudah. Upgrade ke kecepatan terbaru hari ini! #BNETSpeed #BNETAsliKarawang #BNET #Karawang #BetterInternetBetterLife","1744905892301308061","","","in","","0","0","0","https://x.com/undefined/status/1744905892301308061","1630451515738693637",
"1744558562700153230","Tue Jan 09 03:15:48 +0000 2024","0","selengkapnya di youtube BNET https://t.co/UHA5EF1HIo #bnetaslikarawang #bnet #karawang #betterinternetbetterlife https://t.co/GRiD2Z13Vh","1744558562700153230","https://pbs.twimg.com/ext_tw_video_thumb/1744558275096698880/pu/img/RSsv0l_TVBr-6Tf_.jpg","","in","","0","0","0","https://x.com/undefined/status/1744558562700153230","1630451515738693637",
"1744271707463098835","Mon Jan 08 08:15:56 +0000 2024","0","Kali ini BNET Talk mengundang seorang Entrepreneur Muda Karawang yang fokus pada bisnis Cafe berkonsep kekinian dan sangat cocok untuk Gen-Z juga Milenial!!! the one n only @adrianrizky1 #BNETTalk #BNETAsliKarawang #BetterInternetBetterLife #karawang https://t.co/JTQ0CIma8b","1744271707463098835","https://pbs.twimg.com/ext_tw_video_thumb/1744271246903427072/pu/img/zOfRLknLYEcmlolk.jpg","","in","","0","0","0","https://x.com/undefined/status/1744271707463098835","1630451515738693637",
"1744271086374748292","Mon Jan 08 08:13:28 +0000 2024","0","BNET me-review usaha milik customer yaitu Rebel Koffie alias Rebel Basta! @rebel_basta Lokasinya ada di Anjun Karawang Kulon ya! cafe berkonsep Retro Klasik yang pas buat nongkrong dan menikmati kencengnya Internet dari BNET! #bnetaslikarawang #karawang #hot #cafe https://t.co/ICwLt3sZvx","1744271086374748292","https://pbs.twimg.com/ext_tw_video_thumb/1744270671784579072/pu/img/Gen9rYWO8FK9GaOP.jpg","","in","","0","0","0","https://x.com/undefined/status/1744271086374748292","1630451515738693637",
"1742810917589635196","Thu Jan 04 07:31:17 +0000 2024","0","BNET Talk mengundang seorang Akademisi yang mebangun startup transportasi lokal yang berfokus di wilayah kampus bernama Ojekpus (Ojek Kampus). Ojek Kampus menjadi solusi bagi mahasiswa untuk membantu ekonomi dan dapat lebih berhemat. #BNETAsliKarawang #karawang https://t.co/eLRlvraJyf","1742810917589635196","https://pbs.twimg.com/ext_tw_video_thumb/1742810479213608960/pu/img/LdPiRWGepgrB9ZhB.jpg","","in","","0","0","0","https://x.com/undefined/status/1742810917589635196","1630451515738693637",
"1742479661781909609","Wed Jan 03 09:34:59 +0000 2024","0","Selamat datang di BNET Review Usaha Customer! jadi BNET akan selalu hadir untuk customer yang memiliki usaha! kali ini BNET akan review usaha milik customer yaitu Rebel Koffie alias Rebel Basta! @rebel_basta Lokasinya ada di Anjun Karawang Kulon ya! #BNETAsliKarawang https://t.co/GZog2YL8fD","1742479661781909609","https://pbs.twimg.com/ext_tw_video_thumb/1742479443191541761/pu/img/uyDU2kOV9NpfP9uL.jpg","","in","","0","0","0","https://x.com/undefined/status/1742479661781909609","1630451515738693637",
"1719546649113223348","Wed Nov 01 02:47:25 +0000 2023","1","BNET adalah Internet Asli Karawang yang menghadirkan koneksi super cepat dan tanpa batas. Jadikan pengalaman internetmu lebih luar biasa hari ini! Pasang Sekarang! 0877 7914 9842 https://t.co/8lnnVeVqUL","1719546659011788888","","BNETAsliKRW","in","","0","0","0","https://x.com/undefined/status/1719546659011788888","1630451515738693637",
"1719545377236672742","Wed Nov 01 02:42:20 +0000 2023","0","Buat Kamu yang Bingung Info Tentang BNET harus Kemana? #BNETAsliKarawang #Karawang #BetterInternetBetterLife https://t.co/GHmXiiNWrK","1719545377236672742","https://pbs.twimg.com/media/F90MzPObUAABOOJ.jpg","","in","","0","1","0","https://x.com/undefined/status/1719545377236672742","1630451515738693637",
